Date,Price,Open,High,Low,Vol.,Change %,MA10,MA50,MA200,RSI,MOM_S,VOL_T,T_OSC,BPI,BRI,SENT_S
2023-05-06,28857.1,29512.8,29816.4,28414.9,58940.0,-2.22,29026.659999999996,28533.876,23385.620805369126,58.4672575565728,779.5,987.9800000000002,492.783999999996,1700.837474,0,0.0
2023-05-07,28424.8,28857.1,29122.0,28419.6,36500.0,-1.5,28921.55,28564.082000000002,23419.215333333334,56.54160125588694,-244.29999999999927,935.6200000000005,357.4679999999971,1037.5052,0,0.0
2023-05-08,27670.5,28424.8,28627.8,27280.3,85720.0,-2.65,28756.420000000002,28558.318000000003,23447.36953642384,51.14452869841811,-1353.0999999999985,989.0600000000006,198.10199999999895,2371.91526,0,0.0
2023-05-09,27634.9,27670.5,27816.0,27366.3,49750.0,-0.13,28596.5,28556.606,23474.91907894737,44.72114880015269,-1207.199999999997,945.9400000000009,39.89400000000023,1374.836275,0,0.0
2023-05-10,27603.3,27634.3,28311.7,26885.7,91450.0,-0.11,28431.619999999995,28546.392000000003,23501.901960784315,43.37030399896677,-1909.9000000000015,1065.4200000000005,-114.77200000000812,2524.321785,0,0.0
2023-05-11,26983.5,27604.3,27607.4,26766.2,62850.0,-2.25,28322.21,28540.827999999998,23524.50974025974,28.374344913754214,-1873.5999999999985,953.3600000000006,-218.61799999999857,1695.912975,0,0.0
2023-05-12,26799.2,26983.1,27044.0,25853.1,87490.0,-0.68,28135.22,28510.597999999998,23545.63677419355,28.226419002900172,-1625.5999999999985,1051.0600000000006,-375.377999999997,2344.662008,0,0.0
2023-05-13,26777.5,26798.7,27011.9,26695.6,27950.0,-0.08,27910.609999999997,28496.904,23566.35384615385,28.551721729412606,-893.0,844.8200000000012,-586.2940000000017,748.431125,0,0.0
2023-05-14,26920.0,26777.4,27176.1,26609.9,26350.0,0.53,27718.4,28485.792,23587.71464968153,30.071949823116256,-714.9000000000015,868.1200000000005,-767.3919999999998,709.342,0,0.0
2023-05-15,27183.9,26920.4,27651.7,26752.1,53270.0,0.98,27485.47,28470.0,23610.475316455697,40.95573501730527,-419.3999999999978,762.8400000000008,-984.5299999999988,1448.086353,0,0.0
2023-05-16,27035.3,27183.9,27295.3,26881.9,45290.0,-0.55,27303.29,28468.11,23632.015094339622,31.8377873627107,51.79999999999927,677.2800000000003,-1164.8199999999997,1224.428737,0,0.0
2023-05-17,27403.1,27035.5,27465.3,26597.7,58140.0,1.36,27201.120000000003,28470.928,23655.584375,32.03874886391348,603.8999999999978,612.6199999999997,-1269.8079999999973,1593.216234,0,0.0
2023-05-18,26828.0,27403.8,27467.0,26449.8,63390.0,-2.1,27116.870000000003,28440.48,23675.288819875776,29.46765347523808,50.5,752.7999999999993,-1323.609999999997,1700.62692,0,0.0
2023-05-19,26882.9,26828.2,27154.7,26711.3,36670.0,0.2,27041.670000000002,28417.548,23695.088888888888,19.333100151568175,-37.099999999998545,728.2400000000001,-1375.877999999997,985.795943,0,0.0
2023-05-20,27116.2,26883.0,27147.2,26831.3,17720.0,0.87,26992.96,28390.397999999997,23716.0773006135,27.482732752153595,-67.70000000000073,611.5,-1397.4379999999983,480.499064,0,0.0
2023-05-21,26749.9,27116.2,27257.1,26677.6,27420.0,-1.35,26969.6,28356.273999999998,23734.576219512193,27.96010211332478,-285.3999999999978,644.7200000000005,-1386.673999999999,733.482258,0,0.0
